index,author,original_comment,processed_comment,is_gambling_prediction,confidence,gambling_keywords_found,has_contact_info,sentiment_polarity
21,@DedeAazMuhtajunNasoih,Di barat😂😂😂,di barat😂😂😂,False,0.999460041144666,0,False,0.0
22,@MuhammadHanif-l2v,Yang pertama kaya kak galyas,yang pertama kaya kak galyas,False,0.9999488056651765,0,False,0.0
23,@renosetyo1739,AbyAn😅😅😅😅😅😅😅😅😅😅😅,abyan😅😅😅😅😅😅😅😅😅😅😅,False,0.9949087109602898,0,False,0.0
24,@renosetyo1739,😊😊😊😊😊😊😊,😊😊😊😊😊😊😊,False,0.990049751243781,0,False,0.0
25,@hendrahse7929,Petempuan kaya kuda,petempuan kaya kuda,False,0.9984407370748367,0,False,0.0
26,@eliermawati5904,🤣🤣🤣🤣🤣🤣🤣,🤣🤣🤣🤣🤣🤣🤣,False,0.990049751243781,0,False,0.0
27,@WahyuRafael,Kiamat jir🤣🤣🤣,kiamat jir🤣🤣🤣,False,0.9979795107863936,0,False,0.0
28,@SophiaChen-l7h,😂😂,😂😂,False,0.990049751243781,0,False,0.0
29,@CHANNELBUSINDONESIA,😂😂🤣🤣🤣,😂😂🤣🤣🤣,False,0.990049751243781,0,False,0.0
30,@WijiAstuti-y7g,nomor 4lucu banget,nomor lucu banget,False,0.999659993641366,0,False,0.0
31,@Ochagea-u9x,"Nomor 2,4,5 itu dari channel apa?",nomor  itu dari channel apa,False,0.9973883259767614,0,False,0.0
32,@AdeSunandar-t6u,yg ke dua anak buah bpk aku,yg ke dua anak buah bpk aku,False,0.9961483215327633,0,False,0.0
33,@welehweleh-m3s,Harusnya matahari kiamat,harusnya matahari kiamat,False,0.9980230909113165,0,False,0.0
34,@dazel_riel,Lanang emang bedaa😂😂,lanang emang bedaa😂😂,False,0.9966694508512138,0,False,0.0
35,@fahryhartanto2860,"😂😂😂Saya Susanti kamu banyak utang tapi banyak gaya """"""😂😂",😂😂😂saya susanti kamu banyak utang tapi banyak gaya 😂😂,False,0.9935488048069117,0,False,0.0
36,@henyrachmawati259,Yang 3 malah nasehati jirr,yang  malah nasehati jirr,False,0.9949673697070631,0,False,0.0
37,@SyellaSugawa-y7k,"Cwok +62 emang kocak"" 😂",cwok  emang kocak 😂,False,0.9963822385579357,0,False,0.0
38,@davineselma527,NGAKAKKKK,ngakakkkk,False,0.9949087109602898,0,False,0.0
39,@streamerclipper21,The real cowok susah di tebak 😭🗿,the real cowok susah di tebak 😭🗿,False,0.9988110326484754,0,False,0.2
40,@ikawidyastuti7646,The real cowo susah di tebak kaya kakak ku 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,the real cowo susah di tebak kaya kakak ku 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,False,0.9987722186092207,0,False,0.2
41,@shahdinamik30,ngakak semuanya😂,ngakak semuanya😂,False,0.9985160479942887,0,False,0.0
42,@nizamactivitieschannel4484,Kiamat heh😂😂😂😂,kiamat heh😂😂😂😂,False,0.9979441145431983,0,False,0.0
43,@ReyHuny,"Ngakak banget 😂😂😂
Dirundung wibu",ngakak banget 😂😂😂 dirundung wibu,False,0.9992868854154306,0,False,0.0
44,@nizamactivitieschannel4484,Ngakak banget 😂😂😂,ngakak banget 😂😂😂,False,0.999458288703415,0,False,0.0
45,@HappyMega-l6q,Perempuan kayak kuda 😭😭😭😭😭,perempuan kayak kuda 😭😭😭😭😭,False,0.9998870575173757,0,False,0.0
46,@DANIDANI-u7f2e,🤣🤣🤣,🤣🤣🤣,False,0.990049751243781,0,False,0.0
47,@luthfiardiansyah4405,"menangis lahhh,,,, jangann nangissssss😂😂😂😂😂",menangis lahhh jangann nangissssss😂😂😂😂😂,False,0.9880230547656357,0,False,0.0
48,@DARK_cat999,"APA jangan jangan temen saya yang laki denger dari situ😂😂😂😭😭😭
Yang Pagi ku cerah ku matahari dibarat😂😂😂😂",apa jangan jangan temen saya yang laki denger dari situ😂😂😂😭😭😭 yang pagi ku cerah ku matahari dibarat😂😂😂😂,False,0.9996623459654672,0,False,0.0
49,@Mochi_channel-ouo,matahari di barat kiamagtt😭😭😭😭😭😭😭😭😭,matahari di barat kiamagtt😭😭😭😭😭😭😭😭😭,False,0.9998007794449327,0,False,0.0
50,@AltafRizky-m5d,Pagi ku cerahku matahari di barat ku gendong tas merah ku ke akhirat,pagi ku cerahku matahari di barat ku gendong tas merah ku ke akhirat,False,0.9990476998169607,0,False,0.0
51,@Demy05-w7b,Menurut aku fix sih ni 4 harus jadi no 1😂😂,menurut aku fix sih ni  harus jadi no 😂😂,False,0.9886646469595276,0,False,0.0
52,@NoorMalasari-l5y,"Susanti yg imut cantik dn pinter,, di bilang perempuan kaya kuda🤣🤣🤣🤣 asli ngakak wujud dn lagunya jauh bertolak belakang mas",susanti yg imut cantik dn pinter di bilang perempuan kaya kuda🤣🤣🤣🤣 asli ngakak wujud dn lagunya jauh bertolak belakang mas,False,0.9996868194450617,0,False,0.0
53,@marisas.n7472,😂😂😂,😂😂😂,False,0.990049751243781,0,False,0.0
54,@dimaspaturp,lucu banget anjing babi ngentot,lucu banget anjing babi ngentot,False,0.99879740031668,0,False,0.0
55,@nayllaazharaputri,"Harusnya 
1.perempuan banyak muda 
2.kehilangan dirimu
3.kan kau juga manusia
5.matahari bersinar
Yang nomer 4 gak tau",harusnya perempuan banyak muda kehilangan dirimu kan kau juga manusia matahari bersinar yang nomer  gak tau,False,0.9859098790312664,0,False,0.0
56,@RidwanEfendi-g6k,😂😂😂,😂😂😂,False,0.990049751243781,0,False,0.0
57,@Nauraaaa-q3n,Gak tahan ngakak yang no 1 perempuan kayak kuda👹👹👺🐸🌹,gak tahan ngakak yang no  perempuan kayak kuda👹👹👺🐸🌹,False,0.9997808525438004,0,False,0.0
58,@TheGreatestIndonesia,"Matahari dibarat"" End😅",matahari dibarat end😅,False,0.9990759540532483,0,False,0.0
59,@TriyugoWibowo-oq3op,Yang pertama kaya galyas,yang pertama kaya galyas,False,0.9998232329200376,0,False,0.0
60,@velynaryela,"Yang ke lima ku tambah ku gendong tas Merahku di angkasa









 map nambah nambah lirik 🗿🙏🏻🗿",yang ke lima ku tambah ku gendong tas merahku di angkasa map nambah nambah lirik 🗿🙏🏻🗿,False,0.9882250378403332,0,False,0.0
61,@wardiyono3209,Ihh ya ke satu kak galyas😊❤,ihh ya ke satu kak galyas😊❤,False,0.9988033197997119,0,False,0.0
62,@yulianti3011,itu galyas yang pertama,itu galyas yang pertama,False,0.9998848310703565,0,False,0.0
63,@moba08,Udah kiamat nanti kalau matahari di barat bg subhanallah,udah kiamat nanti kalau matahari di barat bg subhanallah,False,0.9986364973736943,0,False,0.0
64,@MrRocks24,🤱🤱🤱,🤱🤱🤱,False,0.990049751243781,0,False,0.0
65,@jumsijumsi7797,Keh,keh,False,0.9949087109602898,0,False,0.0
66,@RahimaRahiman-b4c,😅😅😅😂😂❤❤,😅😅😅😂😂❤❤,False,0.990049751243781,0,False,0.0
67,@TutikSusilowati-d6g,*_-ini cowok yang susah di tebak 🤣🤣🤣🤣-_*,ini cowok yang susah di tebak 🤣🤣🤣🤣,False,0.9990408051954919,0,False,0.0
68,@Santi-f4v,Kayak kuda gueeee,kayak kuda gueeee,False,0.9991361702193383,0,False,0.0
69,@SusilawatieMatHassan,😂,😂,False,0.990049751243781,0,False,0.0
70,@desiutami7507,Yang di rundung wibu sm matahari di barat ngakak bett😂,yang di rundung wibu sm matahari di barat ngakak bett😂,False,0.9974811724373128,0,False,0.0
71,@rezthafhabyanz959,Yg ke 5 kiamat dong😂,yg ke  kiamat dong😂,False,0.999429325337654,0,False,0.0
72,@Roa-t4l,yang pertama canduu😂😂,yang pertama canduu😂😂,False,0.9992764045647299,0,False,0.0
73,@jihanmakaila.jihan30,yg ke 1 ka galyas😂,yg ke  ka galyas😂,False,0.9988127213450771,0,False,0.0
74,@onyett3299,Ngakak 🤣,ngakak 🤣,False,0.9994236258916929,0,False,0.0
75,@jhonvolta5473,😂😂😂,😂😂😂,False,0.990049751243781,0,False,0.0
76,@MJHL2811,😂,😂,False,0.990049751243781,0,False,0.0
77,@putratarigan-f1g,buat lebih banyak konten seperti ini 😂,buat lebih banyak konten seperti ini 😂,False,0.9960160181605202,0,False,0.0
78,@ZahiraYulianti-i2d,😂😂😂😂😂😂😂😂😂😂😂,😂😂😂😂😂😂😂😂😂😂😂,False,0.990049751243781,0,False,0.0
79,@niknum5943,Ngakak ampir keselek gw 😭🤣,ngakak ampir keselek gw 😭🤣,False,0.9959024091489113,0,False,0.0
80,@SofyanAlfatrisi,Lucu banget nomor 1 sam nomor 3,lucu banget nomor  sam nomor ,False,0.999710795185344,0,False,0.0
81,@twtu550,😂😂,😂😂,False,0.990049751243781,0,False,0.0
82,@Kyoo.Official,Suwer ngakak sendiri 😂,suwer ngakak sendiri 😂,False,0.9957393960411637,0,False,0.0
83,@pemancingmanagan4776,"Pahala bang,pagi jumat  udah bikin orang ketawa ngakak😂😂😂",pahala bangpagi jumat udah bikin orang ketawa ngakak😂😂😂,False,0.9917594778524322,0,False,0.0
84,@ribomila2843,Matahari di barat😂😂😂😂😂 kiamat itu mah😂,matahari di barat😂😂😂😂😂 kiamat itu mah😂,False,0.9997960662975521,0,False,0.0
85,@fransiskatjoe4955,Aku ngakak jangan nangis 😭😭🤣🤣,aku ngakak jangan nangis 😭😭🤣🤣,False,0.999463408070044,0,False,0.0
86,@Eldi27,No 5 😭😭 kiamat cook,no  😭😭 kiamat cook,False,0.9973875595624252,0,False,0.0
87,@TatsuyaDk,Haiiya susanti perempuan banyak hutang,haiiya susanti perempuan banyak hutang,False,0.9991887790642713,0,False,0.0
88,@salmahmh1064,😂,😂,False,0.990049751243781,0,False,0.0
89,@salmaismail1780,No 5 gelap,no  gelap,False,0.9981958907868023,0,False,0.0
90,@evinkaazaleasyahputripaudb2215,Mana gw wibu pula👁👄👁,mana gw wibu pula👁👄👁,False,0.9946514407842206,0,False,0.0
91,@susiaryati6966,Ngakak njeer😂😂,ngakak njeer😂😂,False,0.9994236258916929,0,False,0.0
92,@AristaLende,😂😂😂,😂😂😂,False,0.990049751243781,0,False,0.0
93,@AfizahKhairinalatifah-u9g,Anjayyyyyy😂😂😂,anjayyyyyy😂😂😂,False,0.9949087109602898,0,False,0.0
94,@ArdiansyahTerimakeputusan,😂😂😂😂,😂😂😂😂,False,0.990049751243781,0,False,0.0
95,@anomali-91-z2g,"""kehilangan ginjal ku~""bisa nyambung lagi🗿",kehilangan ginjal kubisa nyambung lagi🗿,False,0.995104170129392,0,False,0.0
96,@crowye5951,No 1 temen gw itu 🤣,no  temen gw itu 🤣,False,0.9982872420037956,0,False,0.0
97,@MuhammadFaisal-zf5vy,😂😂😂Matahri di barat..belum kiamat woi...😂,😂😂😂matahri di baratbelum kiamat woi😂,False,0.9926885998982428,0,False,0.0
98,@mike-29,Jangan nangis😭😭,jangan nangis😭😭,False,0.9991281255507032,0,False,0.0
99,@yeonyunji3842,😭😭😭😭😭,😭😭😭😭😭,False,0.990049751243781,0,False,0.0
100,@SyarifEffendi-b6v,𝐌𝐀𝐒𝐓𝐄𝐑𝟏𝟑𝟖 emang juara dan terbaik,𝐌𝐀𝐒𝐓𝐄𝐑 emang juara dan terbaik,False,0.9920494858810183,0,False,0.0
101,@NorJihan-d9f,😂😂😂😂😂😂😂😂😂😂,😂😂😂😂😂😂😂😂😂😂,False,0.990049751243781,0,False,0.0
102,@Turangan_Family,Matahari di barat maka indo timur mundur😂😂,matahari di barat maka indo timur mundur😂😂,False,0.9994805618522098,0,False,0.0
103,@devissudirman1638,Terakhir langsung final day,terakhir langsung final day,False,0.9932334475217156,0,False,0.0
104,@MaySaroh-j2u,Kehilangan ginjal kuuuuuu😂🤣🤣🤣🤣,kehilangan ginjal kuuuuuu😂🤣🤣🤣🤣,False,0.995704055308649,0,False,0.0
105,@haslinanovianti12,😂😂😂😂😂😂😂❤,😂😂😂😂😂😂😂❤,False,0.990049751243781,0,False,0.0
106,@sriyuniharyati5603,Aku wibu,aku wibu,False,0.9989017148626879,0,False,0.0
107,@muhammadhilalmaruf3064,Gg parah no.5 auto kiamat donk,gg parah no auto kiamat donk,False,0.996429683583601,0,False,0.0
108,@rismayanti-o2c,hahaha,hahaha,False,0.9973266529876077,0,False,0.2
109,@VikoJuna-d6w,Hari sekali di barat dunia atau meledak 🗿🤣,hari sekali di barat dunia atau meledak 🗿🤣,False,0.9947812937590226,0,False,0.0
110,@SampiLiah,😂😂😂😂,😂😂😂😂,False,0.990049751243781,0,False,0.0
111,@selvyfranatatv6529,ngakak😭,ngakak😭,False,0.9994236258916929,0,False,0.0
112,@Rind4chi,😂😂😂😂🤣🤣🤣👍,😂😂😂😂🤣🤣🤣👍,False,0.990049751243781,0,False,0.0
113,@KomozakiMitsuda,perempuan kaya kuda😂😂😂,perempuan kaya kuda😂😂😂,False,0.9996908151891982,0,False,0.0
114,@iamhida,Serem kali matahari dibarat😅,serem kali matahari dibarat😅,False,0.9974805884347775,0,False,0.0
115,@HaesumaOk,Kiyamat,kiyamat,False,0.9949087109602898,0,False,0.0
116,@BellCa.Belluce,Cape bgtt anjjirrr😭😭😭,cape bgtt anjjirrr😭😭😭,False,0.9895240079661629,0,False,0.0
117,@raditzaky6421,Muka serius nyanyian misterius 😅,muka serius nyanyian misterius 😅,False,0.988516352094352,0,False,0.0
118,@anggabhomantara8184,😄😄😄,😄😄😄,False,0.990049751243781,0,False,0.0
119,@BagasWahyu-k4x,Ngakak 😂😂😂😂,ngakak 😂😂😂😂,False,0.9994236258916929,0,False,0.0
120,@arinramadhantyalfaizah4914,ngakak sampe ubun2😂😂😂😂😂😅😅😅😅😅,ngakak sampe ubun😂😂😂😂😂😅😅😅😅😅,False,0.9979925016942183,0,False,0.0
121,@mochmaulanamalikibrahim8080,😂😂😂😂😂😂😂,😂😂😂😂😂😂😂,False,0.990049751243781,0,False,0.0
122,@KevinTian77,Jangan nangis 😂😂😂😂😂😂😂 ngakak bet dah,jangan nangis 😂😂😂😂😂😂😂 ngakak bet dah,False,0.9987846347582042,0,False,0.0
123,@KeysaKeyla-v5b,Yang 5 matahari di barat ituh kiamat kocak,yang  matahari di barat ituh kiamat kocak,False,0.9994800555984681,0,False,0.0
124,@sadgaming53096..,Terpopuler ⭐𝑲𝒀𝑻4𝑫⭐Member baru pasti jepee❤,terpopuler ⭐𝑲𝒀𝑻𝑫⭐member baru pasti jepee❤,False,0.9855581767024797,0,False,0.0
125,@NimulalUraow,Keren parah 𝑲𝒀𝑻4𝑫! Pengen main terus. 👏,keren parah 𝑲𝒀𝑻𝑫 pengen main terus 👏,False,0.994964202018815,0,False,0.16666666666666666
126,@nisharaikwar4879,Gw paling demen gas di ⭐𝑲𝒀𝑻4𝑫⭐ wkwkwkww seru. Harus sering2 sih ini mah auto jepey!,gw paling demen gas di ⭐𝑲𝒀𝑻𝑫⭐ wkwkwkww seru harus sering sih ini mah auto jepey,False,0.977333365706027,0,False,0.0
127,@Keshav-t3k,Emang gak ada yang bisa ngalahin serunya ⭐𝑲𝒀𝑻4𝑫⭐.,emang gak ada yang bisa ngalahin serunya ⭐𝑲𝒀𝑻𝑫⭐,False,0.9960448100709246,0,False,0.0
128,@AmitKumar-i6i9k,Lancar lancar bang salam Jepe ⭐𝑲𝒀𝑻4𝑫⭐,lancar lancar bang salam jepe ⭐𝑲𝒀𝑻𝑫⭐,False,0.9977459617233386,0,False,0.0
129,@SalnangMarak-nm6mo,𝑲𝒀𝑻4𝑫...MODAL SEDIKIT HASIL MAKSIMAL &lt;3,𝑲𝒀𝑻𝑫modal sedikit hasil maksimal lt,True,0.9930886332129663,1,False,0.0
130,@NarendraKumar-l2m,Lancar lancar bang salam Jepe ⭐𝑲𝒀𝑻4𝑫⭐,lancar lancar bang salam jepe ⭐𝑲𝒀𝑻𝑫⭐,False,0.9977459617233386,0,False,0.0
131,@OmprakashKumar-q2p,𝑲𝒀𝑻4𝑫? TERBAIKK JEPE TERUS BRO!!,𝑲𝒀𝑻𝑫 terbaikk jepe terus bro,False,0.9971977511477964,0,False,0.0
132,@BikramMandal-ub7ci,"𝑲𝒀𝑻4𝑫 JUARA PISANN EI, JEIPE GEDE GEDE , MAKIN SERU MAINNYA !",𝑲𝒀𝑻𝑫 juara pisann ei jeipe gede gede makin seru mainnya,False,0.9710246753495048,0,False,0.0
133,@avinashmohol2203,CAPEE BANGETT MENANG MULU MAIN DI 𝑲𝒀𝑻4𝑫🤑💥,capee bangett menang mulu main di 𝑲𝒀𝑻𝑫🤑💥,False,0.9924112710627369,0,False,0.16666666666666666
134,@HariKrishna-of1up,Pokoknya 𝑲𝒀𝑻4𝑫 recommended banget buat semua!,pokoknya 𝑲𝒀𝑻𝑫 recommended banget buat semua,False,0.9955214240364291,0,False,0.0
135,@Progaming-lo6xt,Bikin senyum sendiri! 𝑲𝒀𝑻4𝑫,bikin senyum sendiri 𝑲𝒀𝑻𝑫,False,0.9963285205569362,0,False,0.0
136,@AbdulRahim-t6v7y,"Nyaman banget main di 𝑲𝒀𝑻4𝑫, Caerrnya nggak bisa berhenti 😆💸🔥",nyaman banget main di 𝑲𝒀𝑻𝑫 caerrnya nggak bisa berhenti 😆💸🔥,False,0.9960643051686769,0,False,0.16666666666666666
137,@GopalBuj-b3w,"Lucu sampe nggak karuan! Kalo mau duitnya nggak karuan banyak, 𝑲𝒀𝑻4𝑫 tempatnya! 💎",lucu sampe nggak karuan kalo mau duitnya nggak karuan banyak 𝑲𝒀𝑻𝑫 tempatnya 💎,False,0.9877704375348006,0,False,0.0
138,@Princejain1089,"Mantep ⭐𝑲𝒀𝑻4𝑫⭐ udah jadi kebiasaan, Caerr terusss !!!",mantep ⭐𝑲𝒀𝑻𝑫⭐ udah jadi kebiasaan caerr terusss,False,0.9864259611527885,0,False,0.0
139,@SamarthTupe-s7x,Cuma ⭐𝑲𝒀𝑻4𝑫⭐ nih yang langsung ngasih JP besar.. MANTAP BROO,cuma ⭐𝑲𝒀𝑻𝑫⭐ nih yang langsung ngasih jp besar mantap broo,False,0.9672689423600032,0,False,0.0
140,@ayushmanprophantom8351,Bener-bener rejeki nomplok 🤑💥 𝑲𝒀𝑻4𝑫 juara banget,benerbener rejeki nomplok 🤑💥 𝑲𝒀𝑻𝑫 juara banget,False,0.9931090302544154,0,False,0.0
141,@Aarna.gamingofficial,"Konten seperti ini yang dibutuhkan di YouTube. Sukses terus!,𝑲𝒀𝑻4𝑫!",konten seperti ini yang dibutuhkan di youtube sukses terus𝑲𝒀𝑻𝑫,False,0.9902765838869154,0,False,0.0
142,@Vikash-j8b7o,"Asli deh, ⭐𝑲𝒀𝑻4𝑫⭐ sama konten lo sama-sama bikin betah! 🏠",asli deh ⭐𝑲𝒀𝑻𝑫⭐ sama konten lo samasama bikin betah 🏠,False,0.9931794589343775,0,False,0.0
143,@AbhinavAbhinavabhi,Keren banget videonya! 𝑲𝒀𝑻4𝑫,keren banget videonya 𝑲𝒀𝑻𝑫,False,0.9966467622496805,0,False,0.0
144,@HEADTORED640,"Auto senyum tiap buka 💫𝑲𝒀𝑻4𝑫 💫, cuannya gak kira-kira",auto senyum tiap buka 💫𝑲𝒀𝑻𝑫 💫 cuannya gak kirakira,False,0.9872909419911458,0,False,0.0
145,@karthikelumalai2004,"Asli kontennya top, 👵𝑲𝒀𝑻4𝑫👵 juga selalu top sih. 👑",asli kontennya top 👵𝑲𝒀𝑻𝑫👵 juga selalu top sih 👑,False,0.9949530173305671,0,False,0.5
146,@KavitapawarKavitapawar-je1jk,"Gak nyangka iseng doang, eh malah ketagihan sama 𝑲𝒀𝑻4𝑫",gak nyangka iseng doang eh malah ketagihan sama 𝑲𝒀𝑻𝑫,False,0.9870846745121843,0,False,0.0
147,@rampatsing3376,"Baru juga mulai, udah gak bisa berhenti 💫𝑲𝒀𝑻4𝑫 💫",baru juga mulai udah gak bisa berhenti 💫𝑲𝒀𝑻𝑫 💫,False,0.9960203981735698,0,False,0.0
148,@Brightgaming29,"Kontennya bikin betah, 👵𝑲𝒀𝑻4𝑫👵 juga bikin betah sampe pagi. 🌄",kontennya bikin betah 👵𝑲𝒀𝑻𝑫👵 juga bikin betah sampe pagi 🌄,False,0.9961353979375394,0,False,0.0
149,@effsey1456,No tiga Arya saloka😂,no tiga arya saloka😂,False,0.9906415101207551,0,False,0.0
150,@meccaRK,Ngakak woii😭😭 btw kalo mata hari di barat berarti kiamat dong😭😭,ngakak woii😭😭 btw kalo mata hari di barat berarti kiamat dong😭😭,False,0.9995366639082766,0,False,0.0
151,@puput9260,yang nomor satu kayak galyas muka cewek nya,yang nomor satu kayak galyas muka cewek nya,False,0.9986205469873876,0,False,0.0
152,@Widiyanto-k1s,"Gwe dngerin ny pake headset ketawa sndri,anak ma laki gwe mlh bilng mamah kumat 😂😂😂",gwe dngerin ny pake headset ketawa sndrianak ma laki gwe mlh bilng mamah kumat 😂😂😂,False,0.9932247138291337,0,False,0.0
153,@asroanzani1545,Salah lirik semua,salah lirik semua,False,0.9966168452311032,0,False,0.0
154,@ArjunaPratama-v8b,Udah kiamat kalo.matahari di barat😅😅😅😅😅😅😊,udah kiamat kalomatahari di barat😅😅😅😅😅😅😊,False,0.9986972639556659,0,False,0.0
155,@ryugaalvaro6469,😂😂😂😂😂😂😂😂😂,😂😂😂😂😂😂😂😂😂,False,0.990049751243781,0,False,0.0
156,@felaayu2289,Kuda kecebur got tapi orangnya yang kecebur got😂😂😂😂😂😂😂😂😂😂,kuda kecebur got tapi orangnya yang kecebur got😂😂😂😂😂😂😂😂😂😂,False,0.9945855054569369,0,False,0.0
157,@felaayu2289,Kuda nil kecebur got,kuda nil kecebur got,False,0.9960605989766383,0,False,0.0
158,@akunbaruku9626,😅😂😂😂😂😂,😅😂😂😂😂😂,False,0.990049751243781,0,False,0.0
159,@DioShakabakekok,Kehilangan ginjal ku sama 3,kehilangan ginjal ku sama ,False,0.9971545431955435,0,False,0.0
160,@tisa-ym9nr,Jangan nangisss 🤣🤣🤣,jangan nangisss 🤣🤣🤣,False,0.9981519006672225,0,False,0.0
161,@akifaaskana5503,😂,😂,False,0.990049751243781,0,False,0.0
162,@muhamuharudin5822,Yang 5 gelap💀,yang  gelap💀,False,0.9994562909282778,0,False,0.0
163,@YumnaZahro-t4r,Matahari di barat gak tuhhh🗿,matahari di barat gak tuhhh🗿,False,0.9994756609989959,0,False,0.0
164,@WangiShakilaadiba,Nomor lima gak lucu bang hati² dengan candaan mu,nomor lima gak lucu bang hati² dengan candaan mu,False,0.9923907444504868,0,False,0.0
165,@SeptianFarhandikafadly,Di luar prediksi bmkg🗿🗿🗿🗿👍👊,di luar prediksi bmkg🗿🗿🗿🗿👍👊,True,0.963994806593333,1,False,0.0
166,@nandakurniawan4914,Jangan 😂😂😂😂😂,jangan 😂😂😂😂😂,False,0.9981784150140757,0,False,0.0
167,@dikymovies4843,Emang bener perempuan kaya kuda😂 ngakak cok,emang bener perempuan kaya kuda😂 ngakak cok,False,0.9995096789774108,0,False,0.0
168,@bybey1994,Semuanya bikin ngakak😅,semuanya bikin ngakak😅,False,0.9989669384786335,0,False,0.0
169,@StandinSea-z5t,Yg lucu jangan nangis dan kehilangan  ginjalku 😂😂😂😂😂😂😂😂😂😂😂😂,yg lucu jangan nangis dan kehilangan ginjalku 😂😂😂😂😂😂😂😂😂😂😂😂,False,0.9980902158640139,0,False,0.0
170,@SKYZKAGENOU,Kiamat belum terjadi😂😂😂😂😂😂😂😂 kehilangan jinjal dijual anjing makan orang haram eh salah ngentik males padam bio,kiamat belum terjadi😂😂😂😂😂😂😂😂 kehilangan jinjal dijual anjing makan orang haram eh salah ngentik males padam bio,False,0.9217832618724573,0,False,0.0
171,@10.dhitasyafanurlaili86,Jangan nangiss sih gong nya😭😭😭,jangan nangiss sih gong nya😭😭😭,False,0.9991543786439299,0,False,0.0
172,@PakKasian-d7z,😅😅😅😅,😅😅😅😅,False,0.990049751243781,0,False,0.0
173,@roytamam5826,PEREMPUAN KAYA KUDA ITU SAYAAAAAA.... SAYA YANG NYEBUT. MAAF BUAT SUSANTI 🙏🏻🙏🏻🙏🏻,perempuan kaya kuda itu sayaaaaaa saya yang nyebut maaf buat susanti 🙏🏻🙏🏻🙏🏻,False,0.9974103159647053,0,False,0.0
174,@WindaSetiawan-b7i,Maaf ngakak 🤣🤣🤣,maaf ngakak 🤣🤣🤣,False,0.9980987699835134,0,False,0.0
175,@DaikMakherlis,A-apa itu deket pohon yang ke hilangan ginjal ku😰😥,aapa itu deket pohon yang ke hilangan ginjal ku😰😥,False,0.9947791541695018,0,False,0.0
176,@toucan123-x2m,"""Matahari di barat"" 🗿",matahari di barat 🗿,False,0.9998007794449327,0,False,0.0
